Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz Ehot Ew Bperu Pe E Pmin Pmax
      33  0.00000E+00  0.00000E+000  8.05052E-023  1.55776E-016 -6.08342E-017 -2.25351E-017 -4.77989E-006  6.02900E-006 -4.08691E-006  3.61222E-009  7.84023E-009  9.67426E-010  2.29434E-009  8.59326E-008  2.68406E-010  2.56059E-007
      34  0.00000E+00  0.00000E+000  8.02852E-023  1.55966E-016 -6.33834E-017 -2.19050E-017 -4.69814E-006  6.09889E-006 -4.09346E-006  3.56862E-009  7.68660E-009  9.68472E-010  2.26666E-009  8.62103E-008  2.68476E-010  2.45105E-007
      35  0.00000E+00  0.00000E+000  8.00537E-023  1.56048E-016 -6.58653E-017 -2.12376E-017 -4.61380E-006  6.16639E-006 -4.09952E-006  3.52497E-009  7.53393E-009  9.69235E-010  2.23894E-009  8.64644E-008  2.68560E-010  2.34602E-007
      36  0.00000E+00  0.00000E+000  7.98110E-023  1.56026E-016 -6.82778E-017 -2.05341E-017 -4.52693E-006  6.23144E-006 -4.10505E-006  3.48128E-009  7.38230E-009  9.69660E-010  2.21120E-009  8.66948E-008  2.68648E-010  2.24549E-007
      37  0.00000E+00  0.00000E+000  7.95572E-023  1.55908E-016 -7.06192E-017 -1.97961E-017 -4.43761E-006  6.29399E-006 -4.11001E-006  3.43759E-009  7.23178E-009  9.69683E-010  2.18346E-009  8.69016E-008  2.68742E-010  2.14943E-007
      38  0.00000E+00  0.00000E+000  7.92923E-023  1.55697E-016 -7.28883E-017 -1.90250E-017 -4.34592E-006  6.35399E-006 -4.11438E-006  3.39391E-009  7.08244E-009  9.69260E-010  2.15572E-009  8.70847E-008  2.68844E-010  2.05784E-007
      39  0.00000E+00  0.00000E+000  7.90167E-023  1.55400E-016 -7.50839E-017 -1.82221E-017 -4.25196E-006  6.41139E-006 -4.11812E-006  3.35028E-009  6.93435E-009  9.68351E-010  2.12802E-009  8.72443E-008  2.68951E-010  1.97073E-007
      40  0.00000E+00  0.00000E+000  7.87304E-023  1.55021E-016 -7.72051E-017 -1.73889E-017 -4.15582E-006  6.46616E-006 -4.12119E-006  3.30672E-009  6.78758E-009  9.66931E-010  2.10036E-009  8.73806E-008  2.69088E-010  1.88802E-007
      41  0.00000E+00  0.00000E+000  7.84338E-023  1.54566E-016 -7.92513E-017 -1.65271E-017 -4.05762E-006  6.51826E-006 -4.12356E-006  3.26326E-009  6.64220E-009  9.64978E-010  2.07276E-009  8.74937E-008  2.69279E-010  1.80957E-007
      42  0.00000E+00  0.00000E+000  7.81272E-023  1.54039E-016 -8.12223E-017 -1.56381E-017 -3.95746E-006  6.56768E-006 -4.12519E-006  3.21992E-009  6.49826E-009  9.62497E-010  2.04525E-009  8.75838E-008  2.69546E-010  1.73531E-007
      43  0.00000E+00  0.00000E+000  7.78109E-023  1.53444E-016 -8.31183E-017 -1.47236E-017 -3.85546E-006  6.61439E-006 -4.12607E-006  3.17673E-009  6.35583E-009  9.59504E-010  2.01783E-009  8.76511E-008  2.69932E-010  1.66498E-007
      44  0.00000E+00  0.00000E+000  7.74853E-023  1.52786E-016 -8.49401E-017 -1.37853E-017 -3.75173E-006  6.65837E-006 -4.12616E-006  3.13372E-009  6.21496E-009  9.56035E-010  1.99052E-009  8.76960E-008  2.70186E-010  1.59826E-007
      45  0.00000E+00  0.00000E+000  7.71507E-023  1.52068E-016 -8.66884E-017 -1.28249E-017 -3.64640E-006  6.69963E-006 -4.12543E-006  3.09091E-009  6.07570E-009  9.52140E-010  1.96334E-009  8.77187E-008  2.70173E-010  1.53483E-007
      46  0.00000E+00  0.00000E+000  7.68076E-023  1.51294E-016 -8.83639E-017 -1.18439E-017 -3.53958E-006  6.73815E-006 -4.12387E-006  3.04833E-009  5.93812E-009  9.47874E-010  1.93630E-009  8.77195E-008  2.70233E-010  1.47452E-007
      47  0.00000E+00  0.00000E+000  7.64562E-023  1.50467E-016 -8.99674E-017 -1.08441E-017 -3.43140E-006  6.77393E-006 -4.12145E-006  3.00599E-009  5.80225E-009  9.43303E-010  1.90943E-009  8.76987E-008  2.70358E-010  1.41691E-007
      48  0.00000E+00  0.00000E+000  7.60970E-023  1.49592E-016 -9.14999E-017 -9.82713E-018 -3.32199E-006  6.80698E-006 -4.11817E-006  2.96393E-009  5.66814E-009  9.38496E-010  1.88272E-009  8.76567E-008  2.70339E-010  1.36182E-007
      49  0.00000E+00  0.00000E+000  7.57304E-023  1.48670E-016 -9.29626E-017 -8.79479E-018 -3.21145E-006  6.83729E-006 -4.11400E-006  2.92215E-009  5.53585E-009  9.33529E-010  1.85620E-009  8.75937E-008  2.70373E-010  1.30913E-007
      50  0.00000E+00  0.00000E+000  7.53566E-023  1.47706E-016 -9.43569E-017 -7.74890E-018 -3.09992E-006  6.86488E-006 -4.10895E-006  2.88069E-009  5.40540E-009  9.28474E-010  1.82987E-009  8.75100E-008  2.70466E-010  1.25872E-007
