Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz Ehot Ew Bperu Pe E Pmin Pmax
      45  0.00000E+00  0.00000E+000  3.08290E-020  1.69063E-014 -3.45393E-015 -7.87979E-015  4.60019E-005  2.66533E-005  9.44517E-006  1.43109E-006  1.18641E-005  1.98980E-006  2.92081E-006  2.35611E-005  1.17120E-006  1.30577E-002
      46  0.00000E+00  0.00000E+000  3.08173E-020  1.69602E-014 -3.55324E-015 -7.96442E-015  4.97451E-005  2.25479E-005  1.21089E-005  1.42099E-006  1.15502E-005  1.91118E-006  2.90818E-006  2.33743E-005  1.14566E-006  1.31036E-002
      47  0.00000E+00  0.00000E+000  3.08047E-020  1.70049E-014 -3.65214E-015 -8.04532E-015  5.36068E-005  1.82368E-005  1.48646E-005  1.41080E-006  1.12417E-005  1.91368E-006  2.89562E-006  2.31856E-005  1.12070E-006  1.31490E-002
      48  0.00000E+00  0.00000E+000  3.07913E-020  1.70392E-014 -3.74928E-015 -8.12219E-015  5.75910E-005  1.37234E-005  1.77070E-005  1.40053E-006  1.09385E-005  1.92549E-006  2.88313E-006  2.29950E-005  1.09360E-006  1.31939E-002
      49  0.00000E+00  0.00000E+000  3.07769E-020  1.70651E-014 -3.84533E-015 -8.19546E-015  6.16976E-005  9.00838E-006  2.06357E-005  1.39017E-006  1.06405E-005  1.97939E-006  2.87070E-006  2.28025E-005  1.05283E-006  1.32384E-002
      50  0.00000E+00  0.00000E+000  3.07614E-020  1.70830E-014 -3.93893E-015 -8.26473E-015  6.59270E-005  4.09056E-006  2.36513E-005  1.37973E-006  1.03476E-005  2.02452E-006  2.85834E-006  2.26082E-005  1.01235E-006  1.32825E-002
      51  0.00000E+00  0.00000E+000  3.07449E-020  1.70932E-014 -4.03116E-015 -8.33094E-015  7.02799E-005 -1.02816E-006  2.67515E-005  1.36921E-006  1.00598E-005  2.03686E-006  2.84605E-006  2.24121E-005  9.72236E-007  1.33263E-002
      52  0.00000E+00  0.00000E+000  3.07270E-020  1.70968E-014 -4.12020E-015 -8.39360E-015  7.47562E-005 -6.34683E-006  2.99352E-005  1.35860E-006  9.77702E-006  2.03409E-006  2.83382E-006  2.22141E-005  9.32537E-007  1.33698E-002
      53  0.00000E+00  0.00000E+000  3.07079E-020  1.70945E-014 -4.20639E-015 -8.45299E-015  7.93589E-005 -1.18638E-005  3.32000E-005  1.34791E-006  9.49917E-006  2.03573E-006  2.82165E-006  2.20143E-005  8.93386E-007  1.34130E-002
      54  0.00000E+00  0.00000E+000  3.06873E-020  1.70858E-014 -4.28970E-015 -8.50886E-015  8.40877E-005 -1.75794E-005  3.65449E-005  1.33713E-006  9.22619E-006  2.04861E-006  2.80954E-006  2.18127E-005  8.49133E-007  1.34558E-002
      55  0.00000E+00  0.00000E+000  3.06653E-020  1.70718E-014 -4.36990E-015 -8.56163E-015  8.89446E-005 -2.34935E-005  3.99676E-005  1.32628E-006  8.95801E-006  2.01754E-006  2.79750E-006  2.16093E-005  8.05625E-007  1.34984E-002
      56  0.00000E+00  0.00000E+000  3.06416E-020  1.70530E-014 -4.44582E-015 -8.61032E-015  9.39244E-005 -2.96063E-005  4.34678E-005  1.31534E-006  8.69457E-006  1.97578E-006  2.78551E-006  2.14042E-005  7.63918E-007  1.35406E-002
      57  0.00000E+00  0.00000E+000  3.06163E-020  1.70307E-014 -4.51760E-015 -8.65553E-015  9.90329E-005 -3.59152E-005  4.70425E-005  1.30433E-006  8.43584E-006  1.92534E-006  2.77359E-006  2.11972E-005  7.24040E-007  1.35860E-002
      58  0.00000E+00  0.00000E+000  3.05891E-020  1.70039E-014 -4.58589E-015 -8.69687E-015  1.04264E-004 -4.24221E-005  5.06936E-005  1.29323E-006  8.18178E-006  1.86196E-006  2.76172E-006  2.09883E-005  6.86112E-007  1.36382E-002
      59  0.00000E+00  0.00000E+000  3.05601E-020  1.69754E-014 -4.64916E-015 -8.73452E-015  1.09635E-004 -4.91174E-005  5.44105E-005  1.28206E-006  7.93234E-006  1.78298E-006  2.74992E-006  2.07776E-005  6.50201E-007  1.36905E-002
      60  0.00000E+00  0.00000E+000  3.05290E-020  1.69447E-014 -4.70698E-015 -8.76784E-015  1.15135E-004 -5.60063E-005  5.81963E-005  1.27080E-006  7.68746E-006  1.75576E-006  2.73816E-006  2.05650E-005  6.16203E-007  1.37428E-002
      61  0.00000E+00  0.00000E+000  3.04959E-020  1.69122E-014 -4.76089E-015 -8.79711E-015  1.20765E-004 -6.30858E-005  6.20496E-005  1.25947E-006  7.44714E-006  1.66834E-006  2.72647E-006  2.03504E-005  5.83804E-007  1.37951E-002
      62  0.00000E+00  0.00000E+000  3.04605E-020  1.68783E-014 -4.80905E-015 -8.82164E-015  1.26531E-004 -7.03501E-005  6.59676E-005  1.24806E-006  7.21131E-006  1.60118E-006  2.71483E-006  2.01340E-005  5.52983E-007  1.38475E-002
      63  0.00000E+00  0.00000E+000  3.04229E-020  1.68448E-014 -4.85137E-015 -8.84183E-015  1.32426E-004 -7.78016E-005  6.99513E-005  1.23657E-006  6.97996E-006  1.54604E-006  2.70326E-006  1.99157E-005  5.23700E-007  1.38997E-002
      64  0.00000E+00  0.00000E+000  3.03828E-020  1.68106E-014 -4.88851E-015 -8.85751E-015  1.38454E-004 -8.54386E-005  7.39991E-005  1.22501E-006  6.75307E-006  1.43516E-006  2.69174E-006  1.96954E-005  4.95967E-007  1.39518E-002
      65  0.00000E+00  0.00000E+000  3.03403E-020  1.67769E-014 -4.92012E-015 -8.86840E-015  1.44617E-004 -9.32581E-005  7.81094E-005  1.21338E-006  6.53063E-006  1.42397E-006  2.68028E-006  1.94731E-005  4.69763E-007  1.40036E-002
      66  0.00000E+00  0.00000E+000  3.02953E-020  1.67437E-014 -4.94535E-015 -8.87456E-015  1.50918E-004 -1.01258E-004  8.22809E-005  1.20167E-006  6.31262E-006  1.32812E-006  2.66889E-006  1.92489E-005  4.45068E-007  1.40553E-002
      67  0.00000E+00  0.00000E+000  3.02477E-020  1.67119E-014 -4.96533E-015 -8.87666E-015  1.57350E-004 -1.09439E-004  8.65150E-005  1.18989E-006  6.09901E-006  1.24849E-006  2.65756E-006  1.90227E-005  4.21859E-007  1.41068E-002
      68  0.00000E+00  0.00000E+000  3.01974E-020  1.66827E-014 -4.97874E-015 -8.87421E-015  1.63921E-004 -1.17802E-004  9.08085E-005  1.17805E-006  5.88977E-006  1.14462E-006  2.64631E-006  1.87946E-005  4.00129E-007  1.41581E-002
